T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
17,Middle Africa,2005,GDP in constant 2015 prices (millions of US dollars),"140,549",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2010,GDP in constant 2015 prices (millions of US dollars),"192,241",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2015,GDP in constant 2015 prices (millions of US dollars),"242,751",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2020,GDP in constant 2015 prices (millions of US dollars),"239,546",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2022,GDP in constant 2015 prices (millions of US dollars),"255,574",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2023,GDP in constant 2015 prices (millions of US dollars),"263,550",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,1995,GDP real rates of growth (percent),6.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2005,GDP real rates of growth (percent),9.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2010,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2015,GDP real rates of growth (percent),2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2020,GDP real rates of growth (percent),-2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2022,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
17,Middle Africa,2023,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,1995,GDP in current prices (millions of US dollars),"183,240",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2005,GDP in current prices (millions of US dollars),"310,500",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2010,GDP in current prices (millions of US dollars),"448,106",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2015,GDP in current prices (millions of US dollars),"377,771",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2020,GDP in current prices (millions of US dollars),"369,841",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2022,GDP in current prices (millions of US dollars),"445,027",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2023,GDP in current prices (millions of US dollars),"416,220",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,1995,GDP per capita (US dollars),"3,624",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2005,GDP per capita (US dollars),"5,512",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2010,GDP per capita (US dollars),"7,519",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2015,GDP per capita (US dollars),"5,853",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2020,GDP per capita (US dollars),"5,353",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2022,GDP per capita (US dollars),"6,249",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2023,GDP per capita (US dollars),"5,765",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"207,820",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"289,208",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"337,096",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"377,771",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"369,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"395,911",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2023,GDP in constant 2015 prices (millions of US dollars),"399,287",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2005,GDP real rates of growth (percent),5.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2010,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2015,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2020,GDP real rates of growth (percent),-6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2022,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
18,Southern Africa,2023,GDP real rates of growth (percent),0.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
11,Western Africa,1995,GDP in current prices (millions of US dollars),"105,288",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
11,Western Africa,2005,GDP in current prices (millions of US dollars),"265,283",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
11,Western Africa,2010,GDP in current prices (millions of US dollars),"523,177",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
11,Western Africa,2015,GDP in current prices (millions of US dollars),"691,658",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
11,Western Africa,2020,GDP in current prices (millions of US dollars),"697,136",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
